median_age,Zip Code,total_population,percent_white,percent_black,percent_asian,percent_hispanic,Per Capita Income,median_rent,ALAND10,AWATER10,CITY,AREA
55,5759,1671,93,1,1,1,30592,703,46632453,483259,NORTH CLARENDON,21.48509
44.5,5760,1037,99,0,0,0,25876,673,101449763,2037997,ORWELL,62.17049
44.5,5760,1037,99,0,0,0,25876,673,101449763,2037997,ORWELL,62.17049
44.6,5761,1087,98,0,0,1,24414,586,98522862,158621,PAWLET,43.70417
44.6,5761,1087,98,0,0,1,24414,586,98522862,158621,PAWLET,43.70417
40.4,5762,626,94,0,2,2,24478,802,51775909,169830,PITTSFIELD,56.02594
40.4,5762,626,94,0,2,2,24478,802,51775909,169830,PITTSFIELD,56.02594
46.7,5763,2718,98,0,1,0,34032,663,74482702,260471,PITTSFORD,40.4511
34.4,5764,3442,96,1,0,2,21741,696,111863484,2727003,POULTNEY,42.46181
44.9,5765,1789,98,1,0,1,27687,668,20466069,429471,PROCTOR,8.34592
42.6,5766,588,97,0,0,0,28634,608,118297320,415773,RIPTON,39.43688
51.3,5767,1000,96,0,0,1,27941,602,147784375,780202,ROCHESTER,69.86972
51.3,5767,1000,96,0,0,1,27941,602,147784375,780202,ROCHESTER,69.86972
51.3,5767,1000,96,0,0,1,27941,602,147784375,780202,ROCHESTER,69.86972
45.9,5769,1160,97,0,1,1,26112,748,79408329,4355317,SALISBURY,34.35538
48.4,5770,1181,95,2,0,1,28175,720,106998672,582040,SHOREHAM,29.85711
43.7,5772,652,98,0,0,0,33581,588,117906015,708864,STOCKBRIDGE,6.20189
48,5773,2123,96,0,1,1,27681,531,182901449,1124032,WALLINGFORD,58.44578
49.4,5774,1220,99,0,0,0,22874,524,57707368,2271682,WELLS,20.0866
40.9,5775,606,96,0,0,1,20352,568,32763438,379076,WEST PAWLET,16.67249
52.9,5776,640,94,0,0,2,35434,900,115429347,96655,WEST RUPERT,45.92494
45.2,5777,3457,97,0,0,2,24221,640,124934054,171812,WEST RUTLAND,41.68224
42.2,5778,770,97,1,0,1,22282,739,64436788,507528,WHITING,21.75548
42.2,5778,770,97,1,0,1,22282,739,64436788,507528,WHITING,21.75548
43.2,5819,9754,93,1,2,2,25866,559,235484568,6114342,SAINT JOHNSBURY,79.31259
45.2,5820,624,99,0,0,0,21791,512,62188346,483674,ALBANY,35.99841
48.8,5821,1154,97,0,0,0,25323,820,90142582,2170809,BARNET,43.12456
47.2,5822,1715,92,0,2,1,22431,417,100207852,7103129,BARTON,43.75394
46.2,5824,1073,97,0,1,0,22867,644,134108129,5575497,CONCORD,56.69947
46.2,5824,1073,97,0,1,0,22867,644,134108129,5575497,CONCORD,56.69947
38.9,5825,277,100,0,0,0,20413,573,6586438,69906,COVENTRY,4.48701
37.5,5826,958,97,0,0,2,20790,542,81064200,300180,CRAFTSBURY,30.92883
41.4,5827,298,80,3,3,7,19251,615,38142264,1574432,CRAFTSBURY COMMON,15.36368
