town,type,gross,past_gross,past_use,use
JAMAICA,Meals and Rooms,20717899.27,17138574.71,0.0,0.0
JAMAICA,Sales and Use,19707289.060000002,16693633.239999998,0.0,0.0
JAY,Sales and Use,30466688.2,17516770.919999998,0.0,0.0
JERICHO,Meals and Rooms,27383449.72,24994242.16,0.0,0.0
JERICHO,Meals and Rooms,28154032.65,27145673.41,0.0,0.0
JERICHO,Sales and Use,31890206.84,31870854.59,63439.99999999997,61742.5
JOHNSON,Meals and Rooms,113933615.02,113038760.2,0.0,0.0
JOHNSON,Meals and Rooms,111468453.83,113933615.02,0.0,0.0
JOHNSON,Sales and Use,112360545.82000001,114841129.44,1023176.8333333328,241418.1666666664
KILLINGTON,Meals and Rooms,67779532.82,67068029.480000004,0.0,0.0
KILLINGTON,Meals and Rooms,72208784.16,67677873.91,0.0,0.0
KILLINGTON,Sales and Use,74533385.32,69989089.42,4071315.8333333335,0.0
LINCOLN,Sales and Use,3045198.1799999997,2689540.96,0.0,0.0
LONDONDERRY,Meals and Rooms,36100899.43,33123915.19,0.0,0.0
LONDONDERRY,Meals and Rooms,38648708.97,36326851.33,0.0,0.0
LONDONDERRY,Sales and Use,41649049.58,38671478.88,0.0,0.0
LUDLOW,Meals and Rooms,92920633.62,96606675.11,0.0,214853.83333333346
LUDLOW,Meals and Rooms,70701172.34,92933189.96000001,214853.83333333343,0.0
LUDLOW,Sales and Use,72909658.69999999,95225574.72,1480242.4999999995,263830.4999999999
LUNENBURG,Sales and Use,2379887.31,2409643.98,0.0,0.0
LYNDON,Meals and Rooms,90080446.35,89608237.53,749839.6666666669,614279.1666666669
LYNDON,Meals and Rooms,91273199.59,89524629.07,614279.1666666669,564466.6666666666
LYNDON,Sales and Use,136462043.44,128432489.74000001,710881.3333333334,665589.1666666667
MANCHESTER,Meals and Rooms,373154158.95,378270430.07,3598710.3333333344,3693649.999999999
MANCHESTER,Meals and Rooms,255669332.2,373283284.02,3693649.999999999,3774972.9999999995
MANCHESTER,Sales and Use,271141164.85,388131944.53999996,3766989.666666667,3852027.666666667
MARLBORO,Sales and Use,1630120.96,1568968.34,0.0,0.0
MARSHFIELD,Sales and Use,11192379.89,10981633.2,0.0,0.0
MENDON,Meals and Rooms,1705632.84,0.0,0.0,0.0
MENDON,Meals and Rooms,4166739.37,1705632.84,0.0,0.0
MENDON,Sales and Use,27036857.71,22562128.490000002,0.0,0.0
MIDDLEBURY,Meals and Rooms,386867133.63,352565623.34,1624275.6666666672,1631364.1666666663
MIDDLEBURY,Meals and Rooms,376044936.6,386797347.63,1559743.1666666665,1688676.1666666667
